index,video_id,label,source,raw_ocr,video_title,url,thumb_file
1,Q92XMo8tX14,명문대 나와도 불행한 이유,manual_visual_corrected,ide BACF 명문대나와도 SA wy 불행한이유 000.,명문대 나와도 불행한 이유,https://www.youtube.com/watch?v=Q92XMo8tX14,artifacts/bzcf_thumbnails/thumbs/001_명문대 나와도 불행한 이유.jpg
2,4qgkk-gVolg,실리콘밸리 대물의 생각,manual_visual_corrected,"세 71 [| 1; 007 mw 이 0, 실리콘밸리 ‘oe N= 0] ANZ} Pe Chel 82 5",실리콘밸리 대물의 생각,https://www.youtube.com/watch?v=4qgkk-gVolg,artifacts/bzcf_thumbnails/thumbs/002_실리콘밸리 대물의 생각.jpg
3,LOgOClpa59w,애플 대표는 역시 다르다,ocr_confirmed_title_cleaned,bic 4 a: BZCF 8 에 q on 시 애플 CHEE pap 때 역시 다르다 0 0,애플 대표는 역시 다르다,https://www.youtube.com/watch?v=LOgOClpa59w,artifacts/bzcf_thumbnails/thumbs/003_애플 대표는 역시 다르다.jpg
4,TR__iP-x3Kk,AI? 사람 더 뽑는다 (듀오링고),ocr_confirmed_title_cleaned,eee 7 3 ae a a 가: hc P “g a wer. 은 시때문에 xe 사람 더 뽑는다 in 0,AI? 사람 더 뽑는다 (듀오링고),https://www.youtube.com/watch?v=TR__iP-x3Kk,artifacts/bzcf_thumbnails/thumbs/004_AI 사람 더 뽑는다 (듀오링고).jpg
5,bsrvNVzaYrU,워렌버핏 주주총회 인터뷰 전체번역 (최신),ocr_confirmed_title_cleaned,JIN FINUR. 그 워렌버핏어제인터뷰불 2 연 전체번역,워렌버핏 주주총회 인터뷰 전체번역 (최신),https://www.youtube.com/watch?v=bsrvNVzaYrU,artifacts/bzcf_thumbnails/thumbs/005_워렌버핏 주주총회 인터뷰 전체번역 (최신).jpg
6,-E9chn_gtfY,코딩 한줄도 안했음 ㅠㅠ (안드레 카파시),ocr_confirmed_title_cleaned,안드레 카파시 2s “dj 나도개발안해 Ym,코딩 한줄도 안했음 ㅠㅠ (안드레 카파시),https://www.youtube.com/watch?v=-E9chn_gtfY,artifacts/bzcf_thumbnails/thumbs/006_코딩 한줄도 안했음 ㅠㅠ (안드레 카파시).jpg
7,22rHtB98pd0,어짜피 한번인데 맘대로 사세요 제발로,title_fallback_ocr_noisy,후 BZCF 어짜피 인생 ore 제발 제발 BALAI,어짜피 한번인데 맘대로 사세요 제발로,https://www.youtube.com/watch?v=22rHtB98pd0,artifacts/bzcf_thumbnails/thumbs/007_어짜피 한번인데 맘대로 사세요 제발로.jpg
8,04EO9Qqi_Wk,Artificial intelligence is stupid! It's stupid! (Yan LeCun),title_fallback_ocr_noisy,Ba BUF 언어모델은 때 한계가 명확해 개,Artificial intelligence is stupid! It's stupid! (Yan LeCun),https://www.youtube.com/watch?v=04EO9Qqi_Wk,artifacts/bzcf_thumbnails/thumbs/008_Artificial intelligence is stupid! It's stupid! (Yan LeCun).jpg
9,mxxf_o_jrPk,"'정답, 찍어줄게' (데미스 하사비스)",ocr_confirmed_title_cleaned,“~ 열기 02: a rs Gof Jo Cie Ad ance 정답찍어줄게,"'정답, 찍어줄게' (데미스 하사비스)",https://www.youtube.com/watch?v=mxxf_o_jrPk,"artifacts/bzcf_thumbnails/thumbs/009_'정답, 찍어줄게' (데미스 하사비스).jpg"
10,cboYfv5PYDg,'눈이 떠지는 영상'  (로빈후드 CEO),ocr_confirmed_title_cleaned,"ace BZCF i a N i 눈이 떠지는 .샐 0” 영상입니다 ""< 영상입니다 J's 내버. 내 7 a",'눈이 떠지는 영상'  (로빈후드 CEO),https://www.youtube.com/watch?v=cboYfv5PYDg,artifacts/bzcf_thumbnails/thumbs/010_'눈이 떠지는 영상' (로빈후드 CEO).jpg
